n,t,v
52691,1756.3666666666668,8688
52692,1756.4,8689
52693,1756.4333333333332,8690
52694,1756.4666666666667,8692
52695,1756.5,8693
52696,1756.5333333333333,8695
52697,1756.5666666666668,8696
52698,1756.6,8697
52699,1756.6333333333332,8699
52700,1756.6666666666667,8700
52701,1756.7,8701
52702,1756.7333333333333,8702
52703,1756.7666666666667,8704
52704,1756.8,8706
52705,1756.8333333333333,8707
52706,1756.8666666666668,8708
52707,1756.9,8710
52708,1756.9333333333332,8711
52709,1756.9666666666667,8712
52710,1757.0,8713
52711,1757.0333333333333,8714
52712,1757.0666666666668,8716
52713,1757.1,8718
52714,1757.1333333333332,8719
52715,1757.1666666666667,8720
52716,1757.2,8722
52717,1757.2333333333333,8723
52718,1757.2666666666667,8724
52719,1757.3,8725
52720,1757.3333333333333,8726
52721,1757.3666666666668,8728
52722,1757.4,8729
52723,1757.4333333333332,8731
52724,1757.4666666666667,8732
52725,1757.5,8733
52726,1757.5333333333333,8734
52727,1757.5666666666668,8735
52728,1757.6,8736
52729,1757.6333333333332,8737
52730,1757.6666666666667,8739
52731,1757.7,8739
52732,1757.7333333333333,8740
52733,1757.7666666666667,8743
52734,1757.8,8743
52735,1757.8333333333333,8744
52736,1757.8666666666668,8747
52737,1757.9,8747
52738,1757.9333333333332,8748
52739,1757.9666666666667,8751
52740,1758.0,8751
52741,1758.0333333333333,8753
52742,1758.0666666666668,8753
52743,1758.1,8755
52744,1758.1333333333332,8758
52745,1758.1666666666667,8758
52746,1758.2,8759
52747,1758.2333333333333,8761
52748,1758.2666666666667,8761
52749,1758.3,8763
52750,1758.3333333333333,8763
52751,1758.3666666666668,8766
52752,1758.4,8767
52753,1758.4333333333332,8767
52754,1758.4666666666667,8769
52755,1758.5,8770
52756,1758.5333333333333,8770
52757,1758.5666666666668,8772
52758,1758.6,8774
52759,1758.6333333333332,8774
52760,1758.6666666666667,8776
52761,1758.7,8778
52762,1758.7333333333333,8779
52763,1758.7666666666667,8780
52764,1758.8,8781
52765,1758.8333333333333,8782
52766,1758.8666666666668,8783
52767,1758.9,8785
52768,1758.9333333333332,8787
52769,1758.9666666666667,8788
52770,1759.0,8790
52771,1759.0333333333333,8791
52772,1759.0666666666668,8792
52773,1759.1,8794
52774,1759.1333333333332,8795
52775,1759.1666666666667,8796
52776,1759.2,8798
52777,1759.2333333333333,8799
52778,1759.2666666666667,8801
52779,1759.3,8802
52780,1759.3333333333333,8803
52781,1759.3666666666668,8804
52782,1759.4,8805
52783,1759.4333333333332,8806
52784,1759.4666666666667,8807
52785,1759.5,8809
52786,1759.5333333333333,8810
52787,1759.5666666666668,8811
52788,1759.6,8811
52789,1759.6333333333332,8812
52790,1759.6666666666667,8813
52791,1759.7,8814
52792,1759.7333333333333,8815
52793,1759.7666666666667,8816
52794,1759.8,8818
52795,1759.8333333333333,8819
52796,1759.8666666666668,8820
52797,1759.9,8822
52798,1759.9333333333332,8823
52799,1759.9666666666667,8824
52800,1760.0,8826
52801,1760.0333333333333,8827
52802,1760.0666666666668,8828
52803,1760.1,8830
52804,1760.1333333333332,8832
52805,1760.1666666666667,8834
52806,1760.2,8835
52807,1760.2333333333333,8837
52808,1760.2666666666667,8838
52809,1760.3,8839
52810,1760.3333333333333,8841
52811,1760.3666666666668,8842
52812,1760.4,8844
52813,1760.4333333333332,8846
52814,1760.4666666666667,8847
52815,1760.5,8849
52816,1760.5333333333333,8850
52817,1760.5666666666668,8852
52818,1760.6,8853
52819,1760.6333333333332,8854
52820,1760.6666666666667,8856
52821,1760.7,8858
52822,1760.7333333333333,8859
52823,1760.7666666666667,8860
52824,1760.8,8861
52825,1760.8333333333333,8862
52826,1760.8666666666668,8863
52827,1760.9,8865
52828,1760.9333333333332,8866
52829,1760.9666666666667,8867
52830,1761.0,8869
52831,1761.0333333333333,8870
52832,1761.0666666666668,8871
52833,1761.1,8873
52834,1761.1333333333332,8874
52835,1761.1666666666667,8875
52836,1761.2,8876
52837,1761.2333333333333,8877
52838,1761.2666666666667,8878
52839,1761.3,8881
52840,1761.3333333333333,8882
52841,1761.3666666666668,8884
52842,1761.4,8885
52843,1761.4333333333332,8886
52844,1761.4666666666667,8888
52845,1761.5,8889
52846,1761.5333333333333,8890
52847,1761.5666666666668,8892
52848,1761.6,8894
52849,1761.6333333333332,8895
52850,1761.6666666666667,8897
52851,1761.7,8898
52852,1761.7333333333333,8900
52853,1761.7666666666667,8901
52854,1761.8,8902
52855,1761.8333333333333,8903
52856,1761.8666666666668,8905
52857,1761.9,8907
52858,1761.9333333333332,8908
52859,1761.9666666666667,8910
52860,1762.0,8911
52861,1762.0333333333333,8912
52862,1762.0666666666668,8914
52863,1762.1,8915
52864,1762.1333333333332,8916
52865,1762.1666666666667,8917
52866,1762.2,8919
52867,1762.2333333333333,8920
52868,1762.2666666666667,8922
52869,1762.3,8923
52870,1762.3333333333333,8924
52871,1762.3666666666668,8925
52872,1762.4,8926
52873,1762.4333333333332,8927
52874,1762.4666666666667,8928
52875,1762.5,8930
52876,1762.5333333333333,8931
52877,1762.5666666666668,8933
52878,1762.6,8934
52879,1762.6333333333332,8935
52880,1762.6666666666667,8936
52881,1762.7,8938
52882,1762.7333333333333,8939
52883,1762.7666666666667,8940
52884,1762.8,8942
52885,1762.8333333333333,8943
52886,1762.8666666666668,8945
52887,1762.9,8946
52888,1762.9333333333332,8948
52889,1762.9666666666667,8949
52890,1763.0,8950
52891,1763.0333333333333,8952
52892,1763.0666666666668,8953
52893,1763.1,8955
52894,1763.1333333333332,8956
52895,1763.1666666666667,8958
52896,1763.2,8959
52897,1763.2333333333333,8960
52898,1763.2666666666667,8961
52899,1763.3,8962
52900,1763.3333333333333,8963
52901,1763.3666666666668,8965
52902,1763.4,8966
52903,1763.4333333333332,8968
52904,1763.4666666666667,8969
52905,1763.5,8970
52906,1763.5333333333333,8972
52907,1763.5666666666668,8973
52908,1763.6,8974
52909,1763.6333333333332,8975
52910,1763.6666666666667,8976
52911,1763.7,8978
52912,1763.7333333333333,8980
52913,1763.7666666666667,8981
52914,1763.8,8982
52915,1763.8333333333333,8983
52916,1763.8666666666668,8985
52917,1763.9,8986
52918,1763.9333333333332,8987
52919,1763.9666666666667,8988
52920,1764.0,8990
52921,1764.0333333333333,8992
52922,1764.0666666666668,8994
52923,1764.1,8995
52924,1764.1333333333332,8996
52925,1764.1666666666667,8998
52926,1764.2,8999
52927,1764.2333333333333,9001
52928,1764.2666666666667,9002
52929,1764.3,9004
52930,1764.3333333333333,9005
52931,1764.3666666666668,9007
52932,1764.4,9008
52933,1764.4333333333332,9009
52934,1764.4666666666667,9010
52935,1764.5,9011
52936,1764.5333333333333,9013
52937,1764.5666666666668,9014
52938,1764.6,9016
52939,1764.6333333333332,9017
52940,1764.6666666666667,9018
52941,1764.7,9020
52942,1764.7333333333333,9021
52943,1764.7666666666667,9022
52944,1764.8,9023
52945,1764.8333333333333,9025
52946,1764.8666666666668,9026
52947,1764.9,9028
52948,1764.9333333333332,9029
52949,1764.9666666666667,9030
52950,1765.0,9032
52951,1765.0333333333333,9033
52952,1765.0666666666668,9034
52953,1765.1,9036
52954,1765.1333333333332,9037
52955,1765.1666666666667,9038
52956,1765.2,9040
52957,1765.2333333333333,9042
52958,1765.2666666666667,9043
52959,1765.3,9045
52960,1765.3333333333333,9046
52961,1765.3666666666668,9048
52962,1765.4,9049
52963,1765.4333333333332,9050
52964,1765.4666666666667,9052
52965,1765.5,9054
52966,1765.5333333333333,9055
52967,1765.5666666666668,9056
52968,1765.6,9058
52969,1765.6333333333332,9059
52970,1765.6666666666667,9060
52971,1765.7,9061
52972,1765.7333333333333,9063
52973,1765.7666666666667,9064
52974,1765.8,9066
52975,1765.8333333333333,9067
52976,1765.8666666666668,9068
52977,1765.9,9070
